"","study","model","r2"
"McFadden","riaz","germline PRS only",0.999999999989506
"McFaddenAdj","riaz","germline PRS only",0.956592061190079
"CoxSnell","riaz","germline PRS only",0.747251117943055
"Nagelkerke","riaz","germline PRS only",0.999999999995118
"AldrichNelson","riaz","germline PRS only",0.579010976620296
"VeallZimmermann","riaz","germline PRS only",0.999999999995582
"Efron","riaz","germline PRS only",1
"McKelveyZavoina","riaz","germline PRS only",0.997975684141514
"Tjur","riaz","germline PRS only",0.999999999985497
"AIC","riaz","germline PRS only",4.00000000096699
"BIC","riaz","germline PRS only",8.40938523974892
"logLik","riaz","germline PRS only",-4.83495465886108e-10
"logLik0","riaz","germline PRS only",-46.0745212814938
"G2","riaz","germline PRS only",92.1490425620205
"McFadden1","riaz","TMB",0.00586563922579297
"McFaddenAdj1","riaz","TMB",-0.0584605223688766
"CoxSnell1","riaz","TMB",0.00807265343604824
"Nagelkerke1","riaz","TMB",0.0107795550701285
"AldrichNelson1","riaz","TMB",0.00804024422432121
"VeallZimmermann1","riaz","TMB",0.013858722278207
"Efron1","riaz","TMB",0.00663315740717352
"McKelveyZavoina1","riaz","TMB",0.0108456126270488
"Tjur1","riaz","TMB",0.00722553238455448
"AIC1","riaz","TMB",65.8183542203823
"BIC1","riaz","TMB",69.4316791999229
"logLik1","riaz","TMB",-30.9091771101912
"logLik01","riaz","TMB",-31.0915489191218
"G21","riaz","TMB",0.364743617861322
"McFadden2","riaz","TMB/PD1/PDL1/CTLA4",0.0796098924572194
"McFaddenAdj2","riaz","TMB/PD1/PDL1/CTLA4",-0.0812055115294543
"CoxSnell2","riaz","TMB/PD1/PDL1/CTLA4",0.104173623221751
"Nagelkerke2","riaz","TMB/PD1/PDL1/CTLA4",0.139104857810345
"AldrichNelson2","riaz","TMB/PD1/PDL1/CTLA4",0.0991061282637321
"VeallZimmermann2","riaz","TMB/PD1/PDL1/CTLA4",0.170826192508024
"Efron2","riaz","TMB/PD1/PDL1/CTLA4",0.111140774259209
"McKelveyZavoina2","riaz","TMB/PD1/PDL1/CTLA4",0.145313420226171
"Tjur2","riaz","TMB/PD1/PDL1/CTLA4",0.107110235599417
"AIC2","riaz","TMB/PD1/PDL1/CTLA4",67.2327081066843
"BIC2","riaz","TMB/PD1/PDL1/CTLA4",76.2660205555359
"logLik2","riaz","TMB/PD1/PDL1/CTLA4",-28.6163540533421
"logLik02","riaz","TMB/PD1/PDL1/CTLA4",-31.0915489191218
"G22","riaz","TMB/PD1/PDL1/CTLA4",4.95038973155933
"McFadden3","riaz","TMB/PD1/PDL1/CTLA4+germline",0.999999999993722
"McFaddenAdj3","riaz","TMB/PD1/PDL1/CTLA4+germline",0.807021515209714
"CoxSnell3","riaz","TMB/PD1/PDL1/CTLA4+germline",0.74888558790289
"Nagelkerke3","riaz","TMB/PD1/PDL1/CTLA4+germline",0.999999999997091
"AldrichNelson3","riaz","TMB/PD1/PDL1/CTLA4+germline",0.580157684301343
"VeallZimmermann3","riaz","TMB/PD1/PDL1/CTLA4+germline",0.999999999997364
"Efron3","riaz","TMB/PD1/PDL1/CTLA4+germline",1
"McKelveyZavoina3","riaz","TMB/PD1/PDL1/CTLA4+germline",0.996685320489093
