0,ACE,antigen present,,filtered out
1,ACTR10,antigen present,,filtered out
2,ACTR1A,antigen present,,filtered out
3,ACTR1B,antigen present,,filtered out
4,AP1B1,antigen present,,filtered out
5,AP1G1,antigen present,,filtered out
6,AP1M1,antigen present,,filtered out
7,AP1M2,antigen present,,filtered out
8,AP1S1,antigen present,,filtered out
9,AP1S2,antigen present,,filtered out
10,AP1S3,antigen present,,filtered out
11,AP2A1,antigen present,,filtered out
12,AP2A2,antigen present,,filtered out
13,AP2B1,antigen present,,filtered out
14,AP2M1,antigen present,,filtered out
15,AP2S1,antigen present,,filtered out
16,AP3B1,antigen present,,filtered out
17,AP3D1,antigen present,,filtered out
18,ARF1,antigen present,,filtered out
19,ATG5,antigen present,,filtered out
20,AZGP1,antigen present,,filtered out
21,B2M,immunomodulators,CSF1_response,filtered out
22,BCAP31,antigen present,,filtered out
23,CALR,antigen present,,filtered out
24,CANX,antigen present,,filtered out
25,CAPZA1,antigen present,,filtered out
26,CAPZA2,antigen present,,filtered out
27,CAPZA3,antigen present,,filtered out
28,CAPZB,antigen present,,filtered out
29,CCL19,antigen present,,filtered out
30,CCL21,antigen present,,filtered out
31,CCR7,antigen present,,filtered out
32,CD1A,antigen present,,filtered out
33,CD1B,antigen present,,filtered out
34,CD1C,antigen present,,filtered out
35,CD1D,antigen present,,filtered out
36,CD1E,antigen present,,filtered out
37,CD207,antigen present,,filtered out
38,CD209,cell type,,filtered out
39,CD36,antigen present,,filtered out
40,CD68,cell type,,filtered out
41,CD74,antigen present,,filtered out
42,CD8A,cell type,CSF1_response,filtered out
43,CENPE,antigen present,,filtered out
44,CHUK,antigen present,,filtered out
45,CLEC4A,antigen present,,filtered out
46,CLEC4M,antigen present,,filtered out
47,CLTA,antigen present,,filtered out
48,CLTC,antigen present,,filtered out
49,CTSD,antigen present,,filtered out
50,CTSE,antigen present,,filtered out
51,CTSF,antigen present,,filtered out
52,CTSH,antigen present,,filtered out
53,CTSL,immunomodulators,CSF1_response,filtered out
54,CTSS,immunomodulators,CSF1_response,filtered out
55,CTSV,antigen present,,filtered out
56,CYBA,antigen present,,filtered out
57,CYBB,immunomodulators,CSF1_response,filtered out
58,DCTN1,antigen present,,filtered out
59,DCTN2,antigen present,,filtered out
60,DCTN3,antigen present,,filtered out
61,DCTN4,antigen present,,filtered out
62,DCTN5,antigen present,,filtered out
63,DCTN6,antigen present,,filtered out
64,DNM2,antigen present,,filtered out
65,DYNC1H1,antigen present,,filtered out
66,DYNC1I1,antigen present,,filtered out
67,DYNC1I2,antigen present,,filtered out
68,DYNC1LI1,antigen present,,filtered out
69,DYNC1LI2,antigen present,,filtered out
70,DYNLL1,antigen present,,filtered out
71,DYNLL2,antigen present,,filtered out
72,ERAP1,antigen present,,filtered out
73,ERAP2,antigen present,,filtered out
74,FCER1G,immunomodulators,CSF1_response,filtered out
75,FCGR1A,immunomodulators,CSF1_response,filtered out
76,FCGR1B,antigen present,,filtered out
77,FCGR2B,immunomodulators,CSF1_response,filtered out
78,FCGRT,antigen present,,filtered out
79,FGL2,immunomodulators,CSF1_response,filtered out
80,HFE,antigen present,,filtered out
81,HLA.DMA,antigen present,,filtered out
82,HLA.DMB,antigen present,,filtered out
83,HLA.DOA,antigen present,,filtered out
84,HLA.DOB,antigen present,,filtered out
85,HLA.DPA1,antigen present,,filtered out
86,HLA.DPB1,antigen present,,filtered out
87,HLA.DQA1,antigen present,,filtered out
88,HLA.DQA2,antigen present,,filtered out
89,HLA.DQB1,antigen present,,filtered out
90,HLA.DQB2,antigen present,,filtered out
91,HLA.DRA,antigen present,,filtered out
92,HLA.DRB1,antigen present,,filtered out
93,HLA.DRB3,antigen present,,filtered out
94,HLA.DRB4,antigen present,,filtered out
95,HLA.DRB5,antigen present,,filtered out
96,HLA.E,antigen present,,filtered out
97,HLA.F,antigen present,,filtered out
98,HLA.G,antigen present,,filtered out
99,HLA.H,antigen present,,filtered out
100,ICAM1,immune checkpoint,TGFB_score_21050467,filtered out
101,IDE,antigen present,,filtered out
102,IFI30,immunomodulators,CSF1_response,filtered out
103,IKBKB,antigen present,,filtered out
104,IKBKG,antigen present,,filtered out
105,ITGAV,antigen present,,filtered out
106,ITGB5,immunomodulators,TGFB_score_21050467,filtered out
107,KIF11,antigen present,,filtered out
108,KIF15,antigen present,,filtered out
109,KIF18A,antigen present,,filtered out
110,KIF22,antigen present,,filtered out
111,KIF23,antigen present,,filtered out
112,KIF26A,antigen present,,filtered out
113,KIF2A,antigen present,,filtered out
114,KIF2B,antigen present,,filtered out
115,KIF2C,antigen present,,filtered out
116,KIF3A,antigen present,,filtered out
117,KIF3B,antigen present,,filtered out
118,KIF3C,antigen present,,filtered out
119,KIF4A,antigen present,,filtered out
120,KIF4B,antigen present,,filtered out
121,KIF5A,antigen present,,filtered out
122,KIFAP3,antigen present,,filtered out
123,KLC1,antigen present,,filtered out
124,KLC2,antigen present,,filtered out
125,LAG3,immune checkpoint,,filtered out
126,LGMN,antigen present,,filtered out
127,LILRB2,antigen present,,filtered out
128,LNPEP,antigen present,,filtered out
129,MARCHF1,antigen present,,filtered out
130,MICA,immune checkpoint,,filtered out
131,MICB,immune checkpoint,,filtered out
132,MR1,antigen present,,filtered out
133,NCF1,antigen present,,filtered out
134,NCF2,immunomodulators,CSF1_response,filtered out
135,NCF4,antigen present,,filtered out
136,NOD1,antigen present,,filtered out
137,NOD2,antigen present,,filtered out
138,OSBPL1A,antigen present,,filtered out
139,PDIA3,antigen present,,filtered out
140,PSMA1,antigen present,,filtered out
141,PSMA2,antigen present,,filtered out
142,PSMA3,antigen present,,filtered out
143,PSMA4,antigen present,,filtered out
144,PSMA5,antigen present,,filtered out
145,PSMA6,antigen present,,filtered out
146,PSMA7,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
147,PSMA8,antigen present,,filtered out
148,PSMB1,antigen present,,filtered out
149,PSMB10,antigen present,,filtered out
150,PSMB11,antigen present,,filtered out
151,PSMB2,antigen present,,filtered out
152,PSMB3,antigen present,,filtered out
153,PSMB4,antigen present,,filtered out
154,PSMB5,antigen present,,filtered out
155,PSMB6,antigen present,,filtered out
156,PSMB7,antigen present,,filtered out
157,PSMB8,antigen present,,filtered out
158,PSMB9,antigen present,,filtered out
159,PSMC1,antigen present,,filtered out
160,PSMC2,antigen present,,filtered out
161,PSMC3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
162,PSMC4,antigen present,,filtered out
163,PSMC5,antigen present,,filtered out
164,PSMC6,antigen present,,filtered out
165,PSMD1,antigen present,,filtered out
166,PSMD10,antigen present,,filtered out
167,PSMD11,antigen present,,filtered out
168,PSMD12,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
169,PSMD13,antigen present,,filtered out
170,PSMD14,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
171,PSMD2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
172,PSMD3,antigen present,,filtered out
173,PSMD4,antigen present,,filtered out
174,PSMD5,antigen present,,filtered out
175,PSMD6,antigen present,,filtered out
176,PSMD7,antigen present,,filtered out
177,PSMD8,antigen present,,filtered out
178,PSMD9,antigen present,,filtered out
179,PSME1,antigen present,,filtered out
180,PSME2,antigen present,,filtered out
181,PSME3,antigen present,,filtered out
182,PSME4,antigen present,,filtered out
183,PSMF1,antigen present,,filtered out
184,PYCARD,antigen present,,filtered out
185,RAB10,antigen present,,filtered out
186,RAB27A,antigen present,,filtered out
187,RAB32,antigen present,,filtered out
188,RAB33A,antigen present,,filtered out
189,RAB34,antigen present,,filtered out
190,RAB35,antigen present,,filtered out
191,RAB3B,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
192,RAB3C,antigen present,,filtered out
193,RAB4A,antigen present,,filtered out
194,RAB5B,antigen present,,filtered out
195,RAB6A,antigen present,,filtered out
196,RAB7A,antigen present,,filtered out
197,RAB8B,antigen present,,filtered out
198,RACGAP1,antigen present,,filtered out
199,RELB,antigen present,,filtered out
200,RFTN1,antigen present,,filtered out
201,RILP,antigen present,,filtered out
202,SAR1B,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
203,SEC13,antigen present,,filtered out
204,SEC22B,antigen present,,filtered out
205,SEC23A,antigen present,,filtered out
206,SEC24A,antigen present,,filtered out
207,SEC24B,antigen present,,filtered out
