Cancer,Covariates,Survival Analysis
BLCA,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'High Grade_neoplasm_histologic_grade', 'Low Grade_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history', 'Non-Papillary_diagnosis_subtype', 'Papillary_diagnosis_subtype']",OS
BRCA,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'breast_carcinoma_progesterone_receptor_status', 'breast_carcinoma_estrogen_receptor_status', 'lab_proc_her2_neu_immunohistochemistry_receptor_status', 'lab_procedure_her2_neu_in_situ_hybrid_outcome_type', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'Peri (6-12 months since last menstrual period)_menopause_status', 'Post (prior bilateral ovariectomy OR >12 mo since LMP with no prior hysterectomy)_menopause_status', 'Pre (<6 months since LMP AND no prior bilateral ovariectomy AND not on estrogen replacement)_menopause_status']",OS
COAD,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N']",OS
ESCA,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'height', 'weight', 'alcohol_history_documented', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",OS
HNSC,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'alcohol_history_documented', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",OS
KICH,"['targeted_molecular_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'N2_pathologic_N', 'Lifelong Non-smoker_tobacco_smoking_history']",OS
KIRC,"['radiation_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'G4_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",OS
KIRP,"['height', 'weight', 'targeted_molecular_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'N1_pathologic_N', 'N2_pathologic_N', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",OS
LIHC,"['radiation_therapy', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'G4_neoplasm_histologic_grade', 'alcohol', 'NAFLD', 'hepatitis']",OS
LUAD,"['radiation_therapy', 'targeted_molecular_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",OS
LUSC,"['radiation_therapy', 'targeted_molecular_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",OS
PAAD,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'targeted_molecular_therapy', 'alcohol_history_documented', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",OS
READ,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N']",OS
SKCM,"['radiation_therapy', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N']",OS
STAD,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'targeted_molecular_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade']",OS
TGCT,"['radiation_therapy', 'history_of_undescended_testis', 'T2_pathologic_T', 'N1_pathologic_N']",OS
THCA,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'N1_pathologic_N', 'Minimal (T3)_extrathyroid_carcinoma_present_extension_status', 'Moderate/Advanced (T4a)_extrathyroid_carcinoma_present_extension_status', 'None_extrathyroid_carcinoma_present_extension_status']",OS
SHERLOCK_VALIDATION,"['stage II', 'stage III', 'stage I',
'gender','age_at_diagnosis','grade', 'passive_smoking']",OS
BLCA,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'High Grade_neoplasm_histologic_grade', 'Low Grade_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history', 'Non-Papillary_diagnosis_subtype', 'Papillary_diagnosis_subtype']",PFS
BRCA,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'breast_carcinoma_progesterone_receptor_status', 'breast_carcinoma_estrogen_receptor_status', 'lab_proc_her2_neu_immunohistochemistry_receptor_status', 'lab_procedure_her2_neu_in_situ_hybrid_outcome_type', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'Peri (6-12 months since last menstrual period)_menopause_status', 'Post (prior bilateral ovariectomy OR >12 mo since LMP with no prior hysterectomy)_menopause_status', 'Pre (<6 months since LMP AND no prior bilateral ovariectomy AND not on estrogen replacement)_menopause_status']",PFS
COAD,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N']",PFS
