Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ALOX5AP,839.6496664,-0.457310438,0.229917362,-1.989020898,0.046698896,0.351944124
AMPD3,1098.399,0.02346671,0.2056506,0.1141096,0.9091509,0.9793853
APITD1,103.9275,-0.04766106,0.2121998,-0.2246047,0.8222868,0.9562386
APOE,35887.3,0.07307282,0.2450218,0.2982298,0.7655278,0.9389507
BTN3A2,4011.401,0.2043403,0.1537582,1.328971,0.1838575,0.5969348
C3AR1,1115.313,0.06644967,0.2030897,0.3271937,0.7435214,0.9327583
CAPZB,6977.972,0.1235482,0.1025594,1.20465,0.2283383,0.6412215
CCBL2,890.652,-0.04848856,0.1087797,-0.4457502,0.6557777,0.9001478
CD14,3232.504,0.03963672,0.2249176,0.1762278,0.860115,0.9666106
CD163,6674.735,0.1860993,0.2334228,0.7972628,0.4252984,0.7869883
CD209,735.5565,0.08176153,0.2405241,0.3399307,0.7339087,0.9294087
COX17,946.611,-0.167761,0.1307491,-1.283076,0.1994655,0.6175671
CPVL,3429.548,-0.1407933,0.1990805,-0.7072181,0.479431,0.8163265
CTLA4,285.8832,-0.06040067,0.2973777,-0.203111,0.8390483,0.9609227
CTSL,11909.63,-0.05284626,0.1688448,-0.3129873,0.7542903,0.9363805
CTSS,8930.481,-0.02953729,0.2278504,-0.1296346,0.8968555,0.9757629
CTSW,380.7773,-0.1114249,0.2619023,-0.4254443,0.6705128,0.9054802
DBNDD1,712.8628,0.1971335,0.2475106,0.796465,0.4257618,0.7869883
DCK,1053.793,-0.0981782,0.1396163,-0.7032,0.4819311,0.8175644
DCTN5,2189.679,0.04173851,0.09287363,0.4494119,0.6531346,0.8995928
DHFR,767.4198,-0.01143036,0.1520571,-0.07517151,0.9400783,0.9868501
DYNLT1,1632.337,-0.07151852,0.1248949,-0.5726296,0.5668955,0.8643906
EIF2AK1,6069.353,-0.02793538,0.1123486,-0.2486492,0.8036322,0.9503318
ENTPD1,3182.048004,0.299288255,0.173441887,1.725582324,0.084422582,0.453806968
EP300,11618.73,0.2440475,0.1743796,1.399519,0.1616575,0.5707442
ERAP1,4440.583,0.1114893,0.1455227,0.7661299,0.443599,0.7968066
ERAP2,2763.332,0.1575737,0.2634689,0.5980732,0.5497911,0.8561255
FAM167A,113.9889,0.07003913,0.2792699,0.2507937,0.8019736,0.9503205
FAM216A,287.8306,-0.0345827,0.1413277,-0.2446986,0.8066898,0.9511595
FCGR2A,2919.789,0.152566,0.1767941,0.8629585,0.3881603,0.7625145
FCGR2B,816.1432,0.1356355,0.2512485,0.5398458,0.5893034,0.8761207
FCGR3B,448.1492995,-0.734851949,0.352297245,-2.085886163,0.036988936,0.316892595
FGFR4,412.5612,-0.04884262,0.2641794,-0.1848843,0.8533198,0.9647472
FPR1,638.9139,-0.02761973,0.2345819,-0.1177403,0.9062735,0.9787843
GGH,1561.736,-0.221287,0.2009441,-1.101237,0.2707936,0.6812063
GNPTAB,8595.986,-0.0125827,0.1618783,-0.07772936,0.9380433,0.98623
GPLD1,126.8502,0.1442023,0.2877919,0.5010644,0.6163258,0.8840347
GPNMB,52885.5,0.01222961,0.2121549,0.05764471,0.9540316,0.9911618
GSTCD,494.2202,-0.04512648,0.1064662,-0.4238572,0.6716699,0.9058352
HAUS1,728.422,-0.08628789,0.1157073,-0.745743,0.4558227,0.8023362
HAVCR2,1225.069,-0.07888448,0.2301971,-0.3426823,0.7318375,0.9290198
HLA-A,4829.195,0.4281545,0.4198146,1.019866,0.3077922,0.7063641
HLA-B,6844.014059,0.775094481,0.404724784,1.915114941,0.055477847,0.378111051
HLA-C,1751.958,1.439434,0.4408553,3.265094,NA,NA
HLA-DQA1,8003.096,0.07592904,0.441541,0.1719637,0.8634661,0.9678345
HLA-DQB1,5039.643,0.4450787,0.475787,0.9354578,0.3495524,0.7381159
HLA-DRB1,6821.582,0.1831889,0.4664573,0.3927238,0.6945235,0.9152319
HLA-DRB5,4706.534,0.1636499,0.4895003,0.3343203,0.7381378,0.9306215
HLA-F,173.8615347,1.005528975,0.365344043,2.752279647,0.005918196,0.128730684
HLA-H,137.8771,-0.04777504,0.3333009,-0.1433391,0.8860224,0.9726677
IFI44L,2177.628554,0.501936366,0.266581738,1.882861029,0.059719204,0.39056535
IFIT1,1655.205,0.1395251,0.2375693,0.5873026,0.5570005,0.8596853
IL10RA,3444.756,0.1720988,0.2248538,0.765381,0.4440447,0.7968546
IL18,596.7607,0.05094044,0.2393151,0.2128593,0.8314367,0.9586367
IL2RA,284.3147,0.2216824,0.2155621,1.028392,0.3037654,0.7044406
IRF5,522.669,0.06623389,0.1915201,0.3458326,0.7294685,0.9276941
ITGB2,5965.734609,0.340024822,0.228783502,1.486229643,0.137218389,0.540579311
KLRD1,158.5815,0.1213961,0.2596399,0.4675557,0.6401023,0.8942134
LNPEP,2816.676051,0.256718112,0.14422767,1.779950491,0.075084064,0.430520175
LYZ,11114.06,0.003901186,0.2667852,0.01462295,0.988333,0.9978537
1-Mar,921.3917,0.06779991,0.2004155,0.3382967,0.7351396,0.9297965
MNDA,880.488,-0.233655,0.2218024,-1.053438,0.2921405,0.6965153
MRTO4,1612.967,0.05273697,0.1079034,0.4887425,0.625024,0.8876427
MS4A4A,1296.661,-0.1549576,0.2189611,-0.7076947,0.4791349,0.8163265
MYO1F,2003.527,0.1509351,0.1934311,0.7803042,0.4352119,0.7928219
NOTCH2,8137.946209,0.26680106,0.138813232,1.922014606,0.05460392,0.375827346
OAS1,1774.068571,0.311469859,0.20436755,1.524067101,0.12749195,0.527523974
OAS3,2739.401398,0.353177192,0.191746503,1.841896391,0.065490307,0.405165083
PDCD1,139.8564443,0.528028262,0.289563214,1.82353364,0.068222607,0.413032038
PLEK,2216.448,0.1259647,0.2278101,0.5529374,0.5803063,0.8706719
PLOD2,7627.206397,-0.378868973,0.202362609,-1.872228147,0.061175047,0.39521746
PSMB7,4110.827,0.1102873,0.1129339,0.9765648,0.3287846,0.7237941
PSMD11,3271.434,0.006532854,0.08176773,0.07989526,0.9363206,0.9855684
RNASE6,766.7866,0.1587936,0.1879967,0.8446615,0.3982998,0.7694699
RNF41,1219.094,-0.03201869,0.09244884,-0.3463395,0.7290876,0.9276826
SH3BP5L,1202.542297,0.256752882,0.117862882,2.178403228,0.02937603,0.286438536
SIGLEC5,16.72184,0.1828492,0.2956427,0.6184804,0.5362587,0.8483111
SLC11A1,663.6089,0.02065023,0.295511,0.06987972,0.9442894,0.9885996
SLC25A40,1115.875,-0.142709,0.1273786,-1.120353,0.2625635,0.67303
SNRPA1,1213.089,0.09983165,0.09406542,1.0613,0.2885535,0.6938413
TCEB1,1939.279,-0.1509538,0.1523682,-0.9907172,0.3218237,0.7182307
TLR2,1059.007,-0.06664581,0.1877824,-0.3549097,0.7226572,0.9247193
TNFSF13B,983.8777868,0.475931617,0.22140861,2.149562369,0.031589848,0.294394388
TPRKB,640.3918,-0.1725432,0.1224978,-1.408541,0.1589709,0.5681588
TREX1,501.1150192,0.231539706,0.128935414,1.795780527,0.072529429,0.424486341
VAMP3,3593.842,0.1170115,0.1279235,0.9146988,0.3603498,0.7456698
VAMP8,2763.02,-0.02466193,0.220087,-0.1120554,0.9107795,0.9800477
