histone mark ,cell,GREGOR enrichment ratio
H3K36me3,Bcell,1.188650566
H3K36me3,CD14-positivemonocyte,1.10016782
H3K36me3,CD8-positivealpha-betaTcell,1.247898914
H3K36me3,endothelialcellofumbilicalvein,0.726580455
H3K36me3,fibroblastofdermis,0
H3K36me3,fibroblastoflung,0.981125331
H3K36me3,foreskinkeratinocyte,0.76120767
H3K36me3,foreskinmelanocyte,0.5008053
H3K36me3,keratinocyte,0.772843911
H3K36me3,mammaryepithelialcell,0.702564687
H3K36me3,osteoblast,0.810309615
H3K36me3,peripheralbloodmononuclearcell,1.107050262
H3K36me3,skeletalmusclemyoblast,0.745611084
H3K36me3,skeletalmusclesatellitecell,0.708776107
H3K4me3,Bcell,1.114388928
H3K4me3,CD14-positivemonocyte,1.060945728
H3K4me3,CD8-positivealpha-betaTcell,1.157177132
H3K4me3,endothelialcellofumbilicalvein,0.676001552
H3K4me3,fibroblastofdermis,0.437720637
H3K4me3,fibroblastoflung,0.632861456
H3K4me3,foreskinkeratinocyte,0.674941306
H3K4me3,foreskinmelanocyte,0.471754591
H3K4me3,keratinocyte,0.698916832
H3K4me3,mammaryepithelialcell,0.714245937
H3K4me3,osteoblast,0.541633355
H3K4me3,peripheralbloodmononuclearcell,0.872621724
H3K4me3,skeletalmusclemyoblast,0.563173798
H3K4me3,skeletalmusclesatellitecell,0.446785163
H3K27ac,Bcell,1.140318334
H3K27ac,CD14-positivemonocyte,1.137582415
H3K27ac,CD8-positivealpha-betaTcell,1.294406314
H3K27ac,endothelialcellofumbilicalvein,0.326953775
H3K27ac,fibroblastofdermis,0.385259579
H3K27ac,fibroblastoflung,0.369754762
H3K27ac,foreskinkeratinocyte,0.325919233
H3K27ac,foreskinmelanocyte,0.308125634
H3K27ac,keratinocyte,0.418027495
H3K27ac,mammaryepithelialcell,0.408453667
H3K27ac,osteoblast,0.191592505
H3K27ac,peripheralbloodmononuclearcell,1.230350931
H3K27ac,skeletalmusclemyoblast,0.07741484
H3K27ac,skeletalmusclesatellitecell,0
H3K9ac,Bcell,0.868406133
H3K9ac,CD14-positivemonocyte,0.953250932
H3K9ac,CD8-positivealpha-betaTcell,0.602060344
H3K9ac,endothelialcellofumbilicalvein,0.542549628
H3K9ac,fibroblastofdermis,0.654508995
H3K9ac,fibroblastoflung,0.536586353
H3K9ac,foreskinkeratinocyte,0.57529812
H3K9ac,foreskinmelanocyte,0.538196078
H3K9ac,keratinocyte,0
H3K9ac,mammaryepithelialcell,0.613278016
H3K9ac,osteoblast,0
H3K9ac,peripheralbloodmononuclearcell,0.942643584
H3K9ac,skeletalmusclemyoblast,0.521020294
H3K9ac,skeletalmusclesatellitecell,0.262126625
H3K79me2,Bcell,0
H3K79me2,CD14-positivemonocyte,0
H3K79me2,CD8-positivealpha-betaTcell,0
H3K79me2,endothelialcellofumbilicalvein,0.532268804
H3K79me2,fibroblastofdermis,0.400995416
H3K79me2,fibroblastoflung,0.602207389
H3K79me2,foreskinkeratinocyte,0
H3K79me2,foreskinmelanocyte,0
H3K79me2,keratinocyte,0.575893578
H3K79me2,mammaryepithelialcell,0.456955354
H3K79me2,osteoblast,0.362476109
H3K79me2,peripheralbloodmononuclearcell,0
H3K79me2,skeletalmusclemyoblast,0.455908177
H3K79me2,skeletalmusclesatellitecell,0
H2AFZ,Bcell,0.721142606
H2AFZ,CD14-positivemonocyte,0.602004516
H2AFZ,CD8-positivealpha-betaTcell,0
H2AFZ,endothelialcellofumbilicalvein,0.354848501
H2AFZ,fibroblastofdermis,0.64581126
H2AFZ,fibroblastoflung,0.638122032
H2AFZ,foreskinkeratinocyte,0
H2AFZ,foreskinmelanocyte,0
H2AFZ,keratinocyte,0.440221192
H2AFZ,mammaryepithelialcell,0.272264966
H2AFZ,osteoblast,0.25510727
H2AFZ,peripheralbloodmononuclearcell,0
H2AFZ,skeletalmusclemyoblast,0.309936952
H2AFZ,skeletalmusclesatellitecell,0
H4K20me1,Bcell,0.686566682
H4K20me1,CD14-positivemonocyte,1.198332251
H4K20me1,CD8-positivealpha-betaTcell,0
H4K20me1,endothelialcellofumbilicalvein,0.169337214
H4K20me1,fibroblastofdermis,0
H4K20me1,fibroblastoflung,0.233952682
H4K20me1,foreskinkeratinocyte,0
H4K20me1,foreskinmelanocyte,0
H4K20me1,keratinocyte,0
H4K20me1,mammaryepithelialcell,-0.170306521
H4K20me1,osteoblast,0.320727592
H4K20me1,peripheralbloodmononuclearcell,0
H4K20me1,skeletalmusclemyoblast,0.200288516
H4K20me1,skeletalmusclesatellitecell,0
H3K4me1,Bcell,0.593693655
H3K4me1,CD14-positivemonocyte,0.752332999
H3K4me1,CD8-positivealpha-betaTcell,0.602579668
H3K4me1,endothelialcellofumbilicalvein,0.140092845
H3K4me1,fibroblastofdermis,-0.188930246
H3K4me1,fibroblastoflung,-0.166525695
H3K4me1,foreskinkeratinocyte,0.053667043
H3K4me1,foreskinmelanocyte,0.056460151
H3K4me1,keratinocyte,0
H3K4me1,mammaryepithelialcell,0.082094239
H3K4me1,osteoblast,-0.048199747
H3K4me1,peripheralbloodmononuclearcell,0.788282424
H3K4me1,skeletalmusclemyoblast,-0.007071955
H3K4me1,skeletalmusclesatellitecell,-0.115283733
H3K4me2,Bcell,0.722972583
H3K4me2,CD14-positivemonocyte,0.973543708
H3K4me2,CD8-positivealpha-betaTcell,0
H3K4me2,endothelialcellofumbilicalvein,0.270999664
H3K4me2,fibroblastofdermis,0.174056294
H3K4me2,fibroblastoflung,0.294436357
H3K4me2,foreskinkeratinocyte,0
H3K4me2,foreskinmelanocyte,0
H3K4me2,keratinocyte,0
H3K4me2,mammaryepithelialcell,0.318794713
H3K4me2,osteoblast,0.097826152
H3K4me2,peripheralbloodmononuclearcell,0
H3K4me2,skeletalmusclemyoblast,0.128769227
H3K4me2,skeletalmusclesatellitecell,0.184425895
H3K27me3,Bcell,0.059262088
H3K27me3,CD14-positivemonocyte,-0.153968629
H3K27me3,CD8-positivealpha-betaTcell,0.104588274
H3K27me3,endothelialcellofumbilicalvein,0.251004553
H3K27me3,fibroblastofdermis,0.657888617
H3K27me3,fibroblastoflung,0.207144752
H3K27me3,foreskinkeratinocyte,0.071448746
H3K27me3,foreskinmelanocyte,-0.324560854
H3K27me3,keratinocyte,-0.028240524
H3K27me3,mammaryepithelialcell,-0.058279821
H3K27me3,osteoblast,0.117217466
H3K27me3,peripheralbloodmononuclearcell,-0.053664525
H3K27me3,skeletalmusclemyoblast,0.273449749
H3K27me3,skeletalmusclesatellitecell,0.065292019
H3K9me3,Bcell,-0.173199222
H3K9me3,CD14-positivemonocyte,-0.144043524
H3K9me3,CD8-positivealpha-betaTcell,-0.13926128
H3K9me3,endothelialcellofumbilicalvein,-0.860271045
H3K9me3,fibroblastofdermis,-0.755690469
H3K9me3,fibroblastoflung,0
H3K9me3,foreskinkeratinocyte,-0.243027898
H3K9me3,foreskinmelanocyte,-0.204482177
H3K9me3,keratinocyte,-0.862435917
H3K9me3,mammaryepithelialcell,-0.521476784
H3K9me3,osteoblast,-0.688113559
H3K9me3,peripheralbloodmononuclearcell,-0.078791285
H3K9me3,skeletalmusclemyoblast,-0.830377972
H3K9me3,skeletalmusclesatellitecell,-0.657522956
