gene	full V(G)/Vp	full Pval	full fdr	full n	nonhla V(G)/Vp	nonhla Pval	nonhla fdr	hla V(G)/Vp	hla Pval	hla fdr
HLA.DQB1	0.887318	1e-07	5.715714099999999e-06	7173.0	0.073657	0.0367341	0.057936332214765095	0.195526	1e-07	1.4011570882352941e-06
CCBL2	0.292084	1.0137009999999999e-07	5.715714099999999e-06	7173.0	0.289713	1.0238559999999999e-07	4.8121231999999995e-06	0.003016	0.11059010000000001	0.5000001
DHFR	0.29472600000000004	1.00084463e-07	5.715714099999999e-06	7173.0	0.294056	1.00089042e-07	4.8121231999999995e-06	0.00238	0.1744001	0.5000001
HLA.DRB5	0.988192	1e-07	5.715714099999999e-06	7173.0	0.128859	4.131e-06	0.0001386835714285714	0.22261399999999998	1e-07	1.4011570882352941e-06
ERAP2	0.999999	1e-07	5.715714099999999e-06	7173.0	0.999999	1e-07	4.8121231999999995e-06	0.003071	0.0793151	0.5000001
HLA.G	0.79023	1e-07	5.715714099999999e-06	7173.0	0.19026700000000002	1.0000038896999999e-07	4.8121231999999995e-06	0.1773	1e-07	1.4011570882352941e-06
HLA.DQA1	0.700344	1e-07	5.715714099999999e-06	7173.0	0.06576599999999999	0.037372100000000005	0.058549623333333335	0.116934	1e-07	1.4011570882352941e-06
HLA.DRB1	0.620717	1e-07	5.715714099999999e-06	7173.0	0.062442	0.0439591	0.06260841515151515	0.098622	1e-07	1.4011570882352941e-06
BTN3A2	0.553248	1e-07	5.715714099999999e-06	7173.0	0.07507	0.009845699999999999	0.026292494318181817	0.125684	1e-07	1.4011570882352941e-06
HLA.DQB2	0.41061000000000003	1e-07	5.715714099999999e-06	7173.0	0.027897	0.2607501	0.2687555855263158	0.08997000000000001	1e-07	1.4011570882352941e-06
MICA	0.638897	1e-07	5.715714099999999e-06	7173.0	0.16666	1.0011599e-07	4.8121231999999995e-06	0.156229	1e-07	1.4011570882352941e-06
HLA.DQA2	0.9618120000000001	1e-07	5.715714099999999e-06	7173.0	0.033214	0.1509801	0.1563009845814978	0.181052	1e-07	1.4011570882352941e-06
HLA.C	0.469463	1e-07	5.715714099999999e-06	7173.0	0.05254400000000001	0.0634601	0.07976832539682539	0.086676	1e-07	1.4011570882352941e-06
OAS1	0.220935	6.3795000000000005e-06	0.0003213081066666666	7173.0	0.218352	8.434900000000001e-06	0.00022522661111111115	0.0029920000000000003	0.1293601	0.5000001
CSF3R	0.160171	6.575199999999999e-06	0.0003213081066666666	7173.0	0.166705	3.4917999999999998e-06	0.00013676216666666668	1e-06	0.5000001	0.5000001
SIGLEC5	0.130608	1.2270000000000001e-05	0.000562119375	7173.0	0.13456500000000002	8.625700000000001e-06	0.00022522661111111115	1e-06	0.5000001	0.5000001
FCGR3B	0.11557200000000001	5.1827000000000004e-05	0.0022346582941176474	7173.0	0.11974800000000001	3.7328000000000006e-05	0.0008772080000000002	1e-06	0.5000001	0.5000001
KIF2A	0.115521	5.9971000000000006e-05	0.002442152388888889	7173.0	0.12005	5.0307e-05	0.0009146923076923078	0.002134	0.1343101	0.5000001
FPR3	0.12057999999999999	6.875e-05	0.0026523026315789476	7173.0	0.127345	4.1077e-05	0.0008775540909090909	1e-06	0.5000001	0.5000001
FPR1	0.10518499999999999	9.7225e-05	0.00356329625	7173.0	0.11308399999999999	5.0600000000000003e-05	0.0009146923076923078	1e-06	0.5000001	0.5000001
FCGR2B	0.106582	0.00012076	0.0042150990476190475	7173.0	0.108543	0.00010506	0.0013801027777777778	0.000327	0.44634009999999996	0.5000001
FCGR2A	0.13126500000000002	0.00014228	0.004345468333333334	7173.0	0.140575	7.1734e-05	0.0012041064285714285	1e-06	0.5000001	0.5000001
