IP component,BRCA V(G)/Vp,BRCA Pval,BRCA fdr,BRCA n,BRCA nonhla V(G)/Vp,BRCA nonhla Pval,BRCA nonhla fdr,BRCA hla V(G)/Vp,BRCA hla Pval,BRCA hla fdr
HLA.DRB5,0.999999,2.20E-07,0.000161524,790,0.500372,0.1225201,0.285059328,0.449856,1.00E-07,5.17E-06
HLA.DQA2,0.999999,2.93E-06,0.001074981,790,0.195876,0.3186501,0.390963123,0.363426,1.00E-07,5.17E-06
HLA.DQB1,0.999999,3.99E-05,0.009696674,790,0.220903,0.3084401,0.38740599,0.338108,1.00E-07,5.17E-06
HLA.G,0.999999,5.29E-05,0.009696674,790,0.266094,0.2161201,0.354835483,0.385863,1.00E-07,5.17E-06
ERAP2,0.999999,8.31E-05,0.011689029,790,0.999999,7.51E-05,0.030975858,0.002015,0.4549101,0.5000001
HLA.DRB1,0.999999,9.57E-05,0.011689029,790,0.667582,0.0807651,0.242763662,0.212736,1.00E-07,5.17E-06
KRR1,0.999999,0.00011838,0.012396077,790,0.999999,0.00023955,0.030975858,0.05929,0.0051123,0.147937181
DCTN5,0.999999,0.00027835,0.025503819,790,0.999999,0.00017186,0.030975858,1.00E-06,0.5000001,0.5000001
FN1,0.999999,0.00048373,0.039397121,790,0.999999,0.00026761,0.030975858,1.00E-06,0.5000001,0.5000001
GNPTAB,0.847651,0.0005935,0.04350355,790,0.806194,0.00093394,0.0557452,0.050856,0.0187761,0.266348921
HLA.DQA1,0.999999,0.00080302,0.053510333,790,0.156784,0.3735201,0.414363167,0.238932,1.00E-07,5.17E-06
KIFAP3,0.952905,0.00091959,0.054008568,790,0.925172,0.0011455,0.0557452,0.03438,0.1483701,0.5000001
BTN3A2,0.999999,0.00095786,0.054008568,790,0.104367,0.3775701,0.414363167,0.178142,1.00E-07,5.17E-06
HLA.DQB2,0.999999,0.0011748,0.055543075,790,0.600165,0.0565321,0.225095552,0.176737,1.00E-07,5.17E-06
CX3CL1,0.820206,0.0012124,0.055543075,790,0.819057,0.0012225,0.0557452,0.016277,0.2809901,0.5000001
COL8A1,0.862299,0.001163,0.055543075,790,0.895967,0.00083706,0.0557452,1.00E-06,0.5000001,0.5000001
FCGR3A,0.991829,0.0014129,0.055823737,790,0.999999,0.0011287,0.0557452,1.00E-06,0.5000001,0.5000001
EPHA2,0.934958,0.0013654,0.055823737,790,0.957514,0.0012279,0.0557452,0.00951,0.3588601,0.5000001
IDE,0.999999,0.001447,0.055823737,790,0.999999,0.001441,0.0557452,0.012671,0.2964001,0.5000001
CANX,0.999999,0.0019814,0.070374664,790,0.999999,0.0015525,0.0557452,1.00E-06,0.5000001,0.5000001
ACTR10,0.918257,0.0020969,0.070374664,790,0.937282,0.0019671,0.060088719,0.014204,0.2996301,0.5000001
CLTC,0.999999,0.0021122,0.070374664,790,0.999999,0.0020765,0.060088719,0.010818,0.3040901,0.5000001
CHUK,0.915931,0.0024363,0.077643822,790,0.868071,0.0037831,0.097309739,0.056394,0.0172251,0.26584071
THBS2,0.999999,0.0026652,0.08139965,790,0.999999,0.0015913,0.0557452,1.00E-06,0.5000001,0.5000001
MFSD11,0.838621,0.0030896,0.090587072,790,0.944047,0.0016856,0.0557452,1.00E-06,0.5000001,0.5000001
VTA1,0.970789,0.0035057,0.098833773,790,0.941709,0.0048233,0.101508541,0.04903,0.0365871,0.388857916
NUP93,0.999999,0.0038222,0.103765652,790,0.999999,0.0030272,0.082446682,1.00E-06,0.5000001,0.5000001
ACTR1B,0.843552,0.0041057,0.103775107,790,0.851899,0.0041131,0.100229753,0.010858,0.3027701,0.5000001
TREX1,0.970067,0.0039906,0.103775107,790,0.947276,0.0043609,0.100954835,0.00708,0.3725201,0.5000001
HLA.C,0.999999,0.0042814,0.104608873,790,0.600916,0.0780401,0.242763662,0.13135,1.13E-07,5.23E-06
RELB,0.798676,0.0047203,0.111612255,790,0.760862,0.0069522,0.119328819,0.052442,0.0167251,0.26584071
Macrophages.M2,0.803603,0.0059842,0.132918771,789,0.783447,0.0065966,0.119328819,0.011955,0.3026801,0.5000001
TNFSF4,0.903944,0.0058281,0.132918771,790,0.930832,0.0052952,0.102153233,0.008716,0.3701001,0.5000001
TAPBP,0.856494,0.0061654,0.132918771,790,0.827513,0.0080319,0.12484795,0.033994,0.0803291,0.5000001
FBXO41,0.999999,0.0067655,0.137753097,790,0.999999,0.0051477,0.102153233,1.00E-06,0.5000001,0.5000001
LRRC17,0.999999,0.006639,0.137753097,790,0.999999,0.0069587,0.119328819,0.010851,0.3410101,0.5000001
PNO1,0.962235,0.0082617,0.154305662,790,0.965515,0.0092143,0.130544834,0.013516,0.2374901,0.5000001
IFIH1,0.954295,0.0084205,0.154305662,790,0.866315,0.0140031,0.14407634,0.036081,0.0618911,0.5000001
NCLN,0.714141,0.0082742,0.154305662,790,0.69571,0.0103251,0.132792258,0.03926,0.0578271,0.5000001
PSMD12,0.794015,0.0082881,0.154305662,790,0.89233,0.0048184,0.101508541,1.00E-06,0.5000001,0.5000001
SEC24D,0.612886,0.008675,0.155092073,790,0.591591,0.0108121,0.133138087,0.033586,0.0766491,0.5000001
VCAN,0.811659,0.0103881,0.173056302,790,0.857105,0.0080674,0.12484795,1.00E-06,0.5000001,0.5000001
LNPEP,0.79159,0.0099749,0.173056302,790,0.824704,0.008608,0.128564645,1.00E-06,0.5000001,0.5000001
DYNC1LI2,0.860832,0.0103671,0.173056302,790,0.8367,0.0126541,0.140179864,0.028041,0.1441501,0.5000001
ITGB8,0.909276,0.0112971,0.175845173,790,0.972897,0.0080895,0.12484795,1.00E-06,0.5000001,0.5000001
SEC13,0.913979,0.0114651,0.175845173,790,0.89576,0.0123611,0.140179864,0.00971,0.3525001,0.5000001
SNRPA,0.588492,0.0115151,0.175845173,790,0.586212,0.0120741,0.140179864,0.012812,0.2787601,0.5000001
MRPL37,0.999999,0.0110031,0.175845173,790,0.999999,0.0098684,0.130544834,1.00E-06,0.5000001,0.5000001
MARCKSL1,0.910484,0.0124521,0.178968418,790,0.960006,0.0096263,0.130544834,1.00E-06,0.5000001,0.5000001
STAT1,0.758686,0.0121121,0.178968418,790,0.721646,0.0154271,0.151973347,0.021896,0.1648601,0.5000001
FCGR1A,0.884151,0.0122581,0.178968418,790,0.870808,0.0131511,0.141603705,0.005148,0.3935501,0.5000001
RSAD2,0.83225,0.0128661,0.181362525,790,0.842886,0.0127161,0.140179864,0.00265,0.4389601,0.5000001
NUP107,0.918158,0.0136231,0.188410043,790,0.831927,0.0216961,0.172660547,0.03874,0.0716241,0.5000001
CD44,0.963726,0.0148651,0.201779969,790,0.999999,0.0093574,0.130544834,1.00E-06,0.5000001,0.5000001
CD163,0.584219,0.0167031,0.203703103,790,0.60998,0.0147541,0.148503224,1.00E-06,0.5000001,0.5000001
ADCY7,0.608771,0.0159961,0.203703103,790,0.666153,0.0109271,0.133138087,1.00E-06,0.5000001,0.5000001
JUNB,0.54264,0.0169521,0.203703103,790,0.540275,0.0183161,0.165221987,0.015676,0.2199501,0.5000001
CYBB,0.615303,0.0154781,0.203703103,790,0.615007,0.0159011,0.15337936,0.007666,0.3497501,0.5000001
FCGR1B,0.928739,0.0163541,0.203703103,790,0.898237,0.0187961,0.165221987,0.006961,0.3582801,0.5000001
RAB10,0.875688,0.0159871,0.203703103,790,0.836628,0.0213961,0.172660547,0.028063,0.1053301,0.5000001
RAB6A,0.819728,0.0168061,0.203703103,790,0.735291,0.0286831,0.194480801,0.059657,0.0127411,0.237928292
ALKBH7,0.598956,0.0179961,0.211012084,790,0.555505,0.0249361,0.187112489,0.048246,0.0293661,0.331622056
HACD2,0.774607,0.0181361,0.211012084,790,0.738863,0.0219101,0.172660547,0.021421,0.1979501,0.5000001
COL1A2,0.777847,0.0188891,0.216339223,790,0.835855,0.0135411,0.142489302,1.00E-06,0.5000001,0.5000001
HCK,0.771935,0.0194571,0.21941622,790,0.799079,0.0171391,0.158708066,1.00E-06,0.5000001,0.5000001
KIF2A,0.611483,0.0202001,0.220149004,790,0.58253,0.0250561,0.187112489,0.028683,0.1074601,0.5000001
IKBKG,0.852442,0.0204231,0.220149004,790,0.752056,0.0352051,0.20123409,0.042061,0.0369541,0.388857916
MMP11,0.706236,0.0201571,0.220149004,790,0.74198,0.0165111,0.156013047,1.00E-06,0.5000001,0.5000001
ALOX5AP,0.759927,0.0218451,0.223586379,790,0.678955,0.0338101,0.20123409,0.025061,0.0921431,0.5000001
C11orf24,0.843394,0.0215401,0.223586379,790,0.806553,0.0277641,0.194460691,0.025479,0.1276301,0.5000001
TNF,0.798097,0.0219621,0.223586379,790,0.799861,0.0218841,0.172660547,0.001874,0.4648001,0.5000001
SEC31A,0.785837,0.0218111,0.223586379,790,0.693516,0.0377111,0.204215463,0.061433,0.0105821,0.222705105
PSMD2,0.842228,0.0227821,0.228757251,790,0.86781,0.0189131,0.165221987,1.00E-06,0.5000001,0.5000001
PSMD7,0.822521,0.0245451,0.243129166,790,0.826049,0.0232821,0.179660205,1.00E-06,0.5000001,0.5000001
IFRD2,0.622604,0.0250471,0.244793657,790,0.604735,0.0275981,0.194460691,0.018052,0.2446301,0.5000001
TNFRSF14,0.698767,0.0255961,0.246867649,790,0.663142,0.0320391,0.20123409,0.038055,0.0992521,0.5000001
IFI44,0.808181,0.0264181,0.251486588,790,0.718704,0.0417891,0.211435628,0.022988,0.1129301,0.5000001
